now	bufferOld	bufferNew
1312272	0	2000000
1857413	1454859	3454859
2781388	2530884	4530884
5121662	2190610	4190610
6816015	2496257	4496257
8354993	2957279	4957279
10366271	2946001	4946001
13141801	2170471	4170471
15096700	2215572	4215572
16849871	2462401	4462401
18690661	2621611	4621611
20380380	2931892	4931892
21959952	3352320	5352320
23756997	3555275	5555275
25806444	3505828	5505828
28967972	2344300	4344300
30921843	2390429	4390429
33168418	2143854	4143854
34615443	2696829	4696829
36020828	3291444	5291444
38807006	2505266	4505266
41244542	2067730	4067730
43257921	2054351	4054351
45143124	2169148	4169148
46714555	2597717	4597717
