	now_1	buffer_1	now_2	buffer_2	now_3	buffer_3	now_4	buffer_4	now_5	buffer_5
	410188	0	410188	0	410188	0	410188	0	410188	0
	410188	2000000	410188	2000000	410188	2000000	410188	2000000	410188	2000000
	1698146	712042	1698146	712042	1698146	712042	1698146	712042	1698146	712042
	1698146	2712042	1698146	2712042	1698146	2712042	1698146	2712042	1698146	2712042
	3719141	691047	3719141	691047	3719141	691047	3719141	691047	3719141	691047
	3719141	2691047	3719141	2691047	3719141	2691047	3719141	2691047	3719141	2691047
	6057587	352601	6057587	352601	6057587	352601	6057587	352601	6057587	352601
	6057587	2352601	6057587	2352601	6057587	2352601	6057587	2352601	6057587	2352601
	7749759	660429	7749759	660429	7749759	660429	7749759	660429	7749759	660429
	7749759	2660429	7749759	2660429	7749759	2660429	7749759	2660429	7749759	2660429
	9286892	1123296	9286892	1123296	9286892	1123296	9286892	1123296	9286892	1123296
	9286892	3123296	9286892	3123296	9286892	3123296	9286892	3123296	9286892	3123296
	10478284	1931904	10478284	1931904	10478284	1931904	10478284	1931904	10478284	1931904
	10478284	3931904	10478284	3931904	10478284	3931904	10478284	3931904	10478284	3931904
	11371324	3038864	11371324	3038864	11371324	3038864	11371324	3038864	11371324	3038864
	11371324	5038864	11371324	5038864	11371324	5038864	11371324	5038864	11371324	5038864
	12533687	3876501	12533687	3876501	12533687	3876501	12533687	3876501	12533687	3876501
	12533687	5876501	12533687	5876501	12533687	5876501	12533687	5876501	12533687	5876501
	13539416	4870772	13539416	4870772	13539416	4870772	13539416	4870772	13539416	4870772
	13539416	6870772	13539416	6870772	13539416	6870772	13539416	6870772	13539416	6870772
	14612285	5797903	14612285	5797903	14612285	5797903	14612285	5797903	14612285	5797903
	14612285	7797903	14612285	7797903	14612285	7797903	14612285	7797903	14612285	7797903
	15595532	6814656	15595532	6814656	15595532	6814656	15595532	6814656	15595532	6814656
	15595532	8814656	15595532	8814656	15595532	8814656	15595532	8814656	15595532	8814656
	16485895	7924293	16485895	7924293	16485895	7924293	16485895	7924293	16485895	7924293
	16485895	9924293	16485895	9924293	16485895	9924293	16485895	9924293	16485895	9924293
	17100543	9309645	17100543	9309645	17100543	9309645	17100543	9309645	17100543	9309645
	17100543	11309645	17100543	11309645	17100543	11309645	17100543	11309645	17100543	11309645
	17832165	10578023	17832165	10578023	17832165	10578023	17832165	10578023	17832165	10578023
	17832165	12578023	17832165	12578023	17832165	12578023	17832165	12578023	17832165	12578023
	18929873	11480315	18929873	11480315	18929873	11480315	18929873	11480315	18929873	11480315
	18929873	13480315	18929873	13480315	18929873	13480315	18929873	13480315	18929873	13480315
	19742711	12667477	19742711	12667477	19742711	12667477	19742711	12667477	19742711	12667477
	20507663	11902525	20507663	11902525	20507663	11902525	20507663	11902525	20507663	11902525
	21207325	11202863	21207325	11202863	21207325	11202863	21207325	11202863	21207325	11202863
	21670369	10739819	21670369	10739819	21670369	10739819	21670369	10739819	21670369	10739819
	22216020	10194168	22216020	10194168	22216020	10194168	22216020	10194168	22216020	10194168
	23036536	9373652	23036536	9373652	23036536	9373652	23036536	9373652	23036536	9373652
	24158372	8251816	24158372	8251816	24158372	8251816	24158372	8251816	24158372	8251816
	24158372	10251816	24158372	10251816	24158372	10251816	24158372	10251816	24158372	10251816
	25412506	8997682	25412506	8997682	25412506	8997682	25412506	8997682	25412506	8997682
	25412506	10997682	25412506	10997682	25412506	10997682	25412506	10997682	25412506	10997682
	26852605	9557583	26852605	9557583	26852605	9557583	26852605	9557583	26852605	9557583
	26852605	11557583	26852605	11557583	26852605	11557583	26852605	11557583	26852605	11557583
	27403789	11006399	27403789	11006399	27403789	11006399	27403789	11006399	27403789	11006399
	28222117	10188071	28222117	10188071	28222117	10188071	28222117	10188071	28222117	10188071
	29070156	9340032	29070156	9340032	29070156	9340032	29070156	9340032	29070156	9340032
	30004863	8405325	30004863	8405325	30004863	8405325	30004863	8405325	30004863	8405325
	31071628	7338560	31071628	7338560	31071628	7338560	31071628	7338560	31071628	7338560
	32485565	5924623	32485565	5924623	32485565	5924623	32485565	5924623	32485565	5924623
	32485565	7924623	32485565	7924623	32485565	7924623	32485565	7924623	32485565	7924623
	34002651	6407537	34002651	6407537	34002651	6407537	34002651	6407537	34002651	6407537
	34002651	8407537	34002651	8407537	34002651	8407537	34002651	8407537	34002651	8407537
	36438007	5972181	36438007	5972181	36438007	5972181	36438007	5972181	36438007	5972181
	36438007	7972181	36438007	7972181	36438007	7972181	36438007	7972181	36438007	7972181
	37480674	6929514	37480674	6929514	37480674	6929514	37480674	6929514	37480674	6929514
	38620995	5789193	38620995	5789193	38620995	5789193	38620995	5789193	38620995	5789193
	40385091	4025097	40385091	4025097	40385091	4025097	40385091	4025097	40385091	4025097
	42415520	1994668	42415520	1994668	42415520	1994668	42415520	1994668	42415520	1994668
	42415520	3994668	42415520	3994668	42415520	3994668	42415520	3994668	42415520	3994668
	44282786	2127402	44282786	2127402	44282786	2127402	44282786	2127402	44282786	2127402
	44282786	4127402	44282786	4127402	44282786	4127402	44282786	4127402	44282786	4127402
	45856234	2553954	45856234	2553954	45856234	2553954	45856234	2553954	45856234	2553954
	45856234	4553954	45856234	4553954	45856234	4553954	45856234	4553954	45856234	4553954
	47352444	3057744	47352444	3057744	47352444	3057744	47352444	3057744	47352444	3057744
	47352444	5057744	47352444	5057744	47352444	5057744	47352444	5057744	47352444	5057744
	48825801	3584387	48825801	3584387	48825801	3584387	48825801	3584387	48825801	3584387

