	now_1	bufferOld_1	bufferNew_1	now_2	bufferOld_2	bufferNew_2	now_3	bufferOld_3	bufferNew_3	now_4	bufferOld_4	bufferNew_4	now_5	bufferOld_5	bufferNew_5
	452185	0	2000000	452185	0	2000000	452185	0	2000000	452185	0	2000000	452185	0	2000000
	777350	1674835	3674835	777350	1674835	3674835	777350	1674835	3674835	777350	1674835	3674835	777350	1674835	3674835
	2014961	2437224	4437224	2014961	2437224	4437224	2014961	2437224	4437224	2014961	2437224	4437224	2014961	2437224	4437224
	3933025	2519160	4519160	3933025	2519160	4519160	3933025	2519160	4519160	3933025	2519160	4519160	3933025	2519160	4519160
	5329145	3123040	5123040	5329145	3123040	5123040	5329145	3123040	5123040	5329145	3123040	5123040	5329145	3123040	5123040
	6544451	3907734	5907734	6544451	3907734	5907734	6544451	3907734	5907734	6544451	3907734	5907734	6544451	3907734	5907734
	8389857	4062328	6062328	8389857	4062328	6062328	8389857	4062328	6062328	8389857	4062328	6062328	8389857	4062328	6062328
	10689794	3762391	5762391	10689794	3762391	5762391	10689794	3762391	5762391	10689794	3762391	5762391	10689794	3762391	5762391
	13554050	2898135	4898135	13554050	2898135	4898135	13554050	2898135	4898135	13554050	2898135	4898135	13554050	2898135	4898135
	17089078	1363107	3363107	17089078	1363107	3363107	17089078	1363107	3363107	17089078	1363107	3363107	17089078	1363107	3363107
	18687621	1764564	3764564	18687621	1764564	3764564	18687621	1764564	3764564	18687621	1764564	3764564	18687621	1764564	3764564
	20456173	1996012	3996012	20456173	1996012	3996012	20456173	1996012	3996012	20456173	1996012	3996012	20456173	1996012	3996012
	22440766	2011419	4011419	22440766	2011419	4011419	22440766	2011419	4011419	22440766	2011419	4011419	22440766	2011419	4011419
	25461037	991148	2991148	25461037	991148	2991148	25461037	991148	2991148	25461037	991148	2991148	25461037	991148	2991148
	26971659	1480526	3480526	26971659	1480526	3480526	26971659	1480526	3480526	26971659	1480526	3480526	26971659	1480526	3480526
	28606046	1846139	3846139	28606046	1846139	3846139	28606046	1846139	3846139	28606046	1846139	3846139	28606046	1846139	3846139
	30952382	1499803	3499803	30952382	1499803	3499803	30952382	1499803	3499803	30952382	1499803	3499803	30952382	1499803	3499803
	33780602	671583	2671583	33780602	671583	2671583	33780602	671583	2671583	33780602	671583	2671583	33780602	671583	2671583
	35806131	646054	2646054	35806131	646054	2646054	35806131	646054	2646054	35806131	646054	2646054	35806131	646054	2646054
	37082481	1369704	3369704	37082481	1369704	3369704	37082481	1369704	3369704	37082481	1369704	3369704	37082481	1369704	3369704
	39092439	1359746	3359746	39092439	1359746	3359746	39092439	1359746	3359746	39092439	1359746	3359746	39092439	1359746	3359746
	41140368	1311817	3311817	41140368	1311817	3311817	41140368	1311817	3311817	41140368	1311817	3311817	41140368	1311817	3311817
	43231730	1220455	3220455	43231730	1220455	3220455	43231730	1220455	3220455	43231730	1220455	3220455	43231730	1220455	3220455
	45236286	1215899	3215899	45236286	1215899	3215899	45236286	1215899	3215899	45236286	1215899	3215899	45236286	1215899	3215899
	47755015	697170	2697170	47755015	697170	2697170	47755015	697170	2697170	47755015	697170	2697170	47755015	697170	2697170

