id	Group?	Segment	mainView	Sent	DownStart	DownEnd	q_v0	q_v1	q_v2	q_v3	q_v4
0	1	0	0	200204	 303231	 452185	  0	  0	  0	  0	  0
1	1	1	0	452185	 555208	 777350	  1	  0	  0	  0	  0
2	1	2	0	777350	 880297	 2014961	  4	  0	  0	  0	  0
3	1	3	0	2014961	 2117984	 3933025	  4	  0	  0	  0	  0
4	1	4	0	3933025	 4036048	 5329145	  4	  0	  0	  0	  0
5	1	5	0	5329145	 5432168	 6544451	  4	  0	  0	  0	  0
6	1	6	0	6544451	 6647398	 8389857	  4	  0	  0	  0	  0
7	1	7	0	8389857	 8492880	 10689794	  4	  0	  0	  0	  0
8	1	8	0	10689794	 10792740	 13554050	  4	  0	  0	  0	  0
9	1	9	0	13554050	 13657073	 17089078	  4	  0	  0	  0	  0
10	1	10	0	17089078	 17192101	 18687621	  4	  0	  0	  0	  0
11	1	11	0	18687621	 18790568	 20456173	  4	  0	  0	  0	  0
12	1	12	0	20456173	 20559196	 22440766	  4	  0	  0	  0	  0
13	1	13	0	22440766	 22543712	 25461037	  4	  0	  0	  0	  0
14	1	14	0	25461037	 25563983	 26971659	  4	  0	  0	  0	  0
15	1	15	0	26971659	 27074682	 28606046	  4	  0	  0	  0	  0
16	1	16	0	28606046	 28709069	 30952382	  4	  0	  0	  0	  0
17	1	17	0	30952382	 31055405	 33780602	  4	  0	  0	  0	  0
18	1	18	0	33780602	 33883549	 35806131	  4	  0	  0	  0	  0
19	1	19	0	35806131	 35909077	 37082481	  4	  0	  0	  0	  0
20	1	20	0	37082481	 37185504	 39092439	  4	  0	  0	  0	  0
21	1	21	0	39092439	 39195462	 41140368	  5	  0	  0	  0	  0
22	1	22	0	41140368	 41243391	 43231730	  5	  0	  0	  0	  0
23	1	23	0	43231730	 43334753	 45236286	  5	  0	  0	  0	  0
24	1	24	0	45236286	 45339309	 47755015	  3	  0	  0	  0	  0
25	1	25	0	47755015	 47858038	 48568277	  3	  0	  0	  0	  0
