id	tIndex	tSent	tDownStart	tDownEnd	q_v1	q_v2	q_v3	q_v4	q_v5
0	0	200204	303197	407864	0	0	0	0	0
1	1	407864	510775	946298	0	0	0	0	0
2	2	946298	1049209	1868082	1	0	0	0	0
3	3	1868082	1970993	4206492	3	0	0	0	0
4	4	4206492	4309404	5898630	3	0	0	0	0
5	5	5898630	6001619	10305076	3	0	0	0	0
6	6	10305076	10413663	11620316	0	0	0	0	0
7	7	11620316	11728903	12644270	0	0	0	0	0
8	8	12644270	12752857	14141826	0	0	1	0	0
9	9	14141826	14250413	16065980	0	0	2	0	0
10	10	16065980	16174645	18191088	0	0	2	0	0
11	11	18191088	18299675	20055413	0	0	2	0	0
12	12	20055413	20164000	21794770	0	0	0	0	2
13	13	21794770	21903356	23612352	0	0	0	0	3
14	14	23612352	23720939	25783874	0	0	0	0	3
15	15	25783874	25892460	28043450	0	0	0	0	2
16	16	28043450	28152115	31236726	2	0	0	0	0
17	17	31236726	31350433	33544403	0	0	0	0	0
18	18	33544403	33658031	36190053	0	0	0	0	0
19	19	36190053	36303682	38750959	0	0	0	0	0
20	20	38750959	38864666	41338408	0	0	0	0	0
21	21	41338408	41452115	46204656	0	0	0	0	0
22	22	46204656	46318363	50322771	0	0	0	0	0
23	23	50322771	50436400	53798365	0	0	0	0	0
24	24	53798365	53912071	56563562	0	0	0	0	0
25	25	56563562	56677269	59024029	0	0	0	0	0
26	26	59024029	59137735	61583230	0	0	0	0	0
27	27	61583230	61696937	64315315	0	0	0	0	0
28	28	64315315	64428943	65904460	0	0	0	0	0
29	29	65904460	66007257	66388185	0	0	0	0	0
30	30	66388185	66490982	67959376	4	0	0	0	0
31	31	67959376	68062095	69818209	4	0	0	0	0
32	32	69818209	69920928	71999673	4	0	0	0	0
33	33	71999673	72102399	73275014	4	0	0	0	0
34	34	73275014	73377740	74980205	4	0	0	0	0
35	35	74980205	75082931	76715014	5	0	0	0	0
36	36	76715014	76817818	78824052	5	0	0	0	0
37	37	78824052	78926780	80544666	0	5	0	0	0
38	38	80544666	80647394	82336789	0	5	0	0	0
39	39	82336789	82439595	84090951	0	5	0	0	0
40	40	84090951	84193757	86158754	0	5	0	0	0
41	41	86158754	86261485	88376154	0	5	0	0	0
42	42	88376154	88478964	90718618	5	0	0	0	0
43	43	90718618	90821335	92843625	5	0	0	0	0
44	44	92843625	92946420	96142238	6	0	0	0	0
45	45	96142238	96245033	97893501	5	0	0	0	0
46	46	97893501	97996299	99885545	5	0	0	0	0
