tIndex	vpoint	Start	q_v1	q_v2	q_v3	q_v4	q_v5
0	0	1312272	0	0	0	0	0
1	0	3312272	0	0	0	0	0
2	0	5312272	1	0	0	0	0
3	2	7312272	3	0	0	0	0
4	2	9312272	3	0	0	0	0
5	2	11312272	3	0	0	0	0
6	2	13312272	0	0	4	0	0
7	4	15312272	0	0	5	0	0
8	4	17312272	0	0	4	0	0
9	4	19312272	0	0	4	0	0
10	0	21312272	0	0	0	0	4
11	0	23312272	0	0	0	0	4
12	0	25312272	0	0	0	0	4
13	1	27312272	5	0	0	0	0
14	1	29312272	5	0	0	0	0
15	1	31312272	5	0	0	0	0
16	1	33312272	0	4	0	0	0
17	0	35312272	0	4	0	0	0
18	0	37312272	0	3	0	0	0
19	0	39312272	0	3	0	0	0
20	0	41312272	4	0	0	0	0
21	0	43312272	3	0	0	0	0
22	0	45312272	3	0	0	0	0
23	0	47312272	3	0	0	0	0
