Seg	vp	Start	Bffer?	qV0	qV1	qV2	qV3	qV4	vV0	vV1	vV2	vV3	vV4
0	0	452185	0	0	0	0	0	0	51	51	51	51	51
1	0	2452185	0	2	0	0	0	0	67	0	0	0	0
2	0	4452185	0	5	0	0	0	0	99	0	0	0	0
3	0	6452185	0	5	0	0	0	0	99	0	0	0	0
4	2	8452185	0	5	0	0	0	0	99	0	0	0	0
5	2	10452185	0	5	0	0	0	0	96	0	0	0	0
6	2	12452185	0	0	0	5	0	0	0	0	96	0	0
7	2	14452185	0	0	0	4	0	0	0	0	92	0	0
8	2	16452185	0	0	0	3	0	0	6	6	85	6	6
9	4	18452185	0	0	0	3	0	0	7	7	85	7	7
10	4	20513430	1	0	0	5	0	0	7	7	98	7	7
11	4	22513430	0	0	0	0	0	4	4	4	4	4	91
12	4	24513430	0	0	0	0	0	4	0	0	0	0	90
13	0	26513430	0	0	0	0	0	3	1	1	1	1	81
