id	tIndex	tSent	tDownStart	tDownEnd	q_v1	q_v2	q_v3	q_v4	q_v5
0	0	200204	303197	407864	0	0	0	0	0
1	1	407864	510775	946298	0	0	0	0	0
2	2	946298	1049209	1868082	1	0	0	0	0
3	3	1868082	1970993	4206492	3	0	0	0	0
4	4	4206492	4309404	5898630	3	0	0	0	0
5	5	5898630	6001619	7435729	3	0	0	0	0
6	6	7435729	7538640	9430780	4	0	0	0	0
7	7	9430780	9533769	12204265	0	0	5	0	0
8	8	12204265	12307255	14157068	0	0	4	0	0
9	9	14157068	14260058	15908182	0	0	4	0	0
10	10	15908182	16011172	17758615	0	0	4	0	0
11	11	17758615	17861604	19485408	0	0	4	0	0
12	12	19485408	19588397	21063163	0	0	0	0	4
13	13	21063163	21166152	22848529	0	0	0	0	5
14	14	22848529	22951518	24936398	0	0	0	0	5
15	15	24936398	25039309	28097493	0	0	0	0	5
16	16	28097493	28200482	30081464	4	0	0	0	0
17	17	30081464	30184375	32335672	4	0	0	0	0
18	18	32335672	32438661	33775174	3	0	0	0	0
19	19	33775174	33878163	35189154	3	0	0	0	0
20	20	35189154	35292143	37988876	0	4	0	0	0
21	21	37988876	38091787	39606031	0	2	0	0	0
22	22	39606031	39709021	41636426	0	3	0	0	0
23	23	41636426	41739338	43503658	0	3	0	0	0
24	24	43503658	43606569	46256265	0	4	0	0	0
25	25	46256265	46359255	47752442	3	0	0	0	0
26	26	47752442	47855431	49225766	3	0	0	0	0
