id	tIndex	tSent	tDownStart	tDownEnd	q_v1	q_v2	q_v3	q_v4	q_v5
0	0	200204	303197	407864	0	0	0	0	0
1	1	407864	510775	946298	0	0	0	0	0
2	2	946298	1049209	1868082	1	0	0	0	0
3	3	1868082	1970993	4206492	3	0	0	0	0
4	4	4206492	4309404	5898630	3	0	0	0	0
5	5	5898630	6001619	7435729	3	0	0	0	0
6	6	7435729	7538640	9430780	4	0	0	0	0
7	7	9430780	9533769	12204265	0	0	5	0	0
8	8	12204265	12307255	14157068	0	0	4	0	0
9	9	14157068	14260058	15908182	0	0	4	0	0
10	10	15908182	16011172	17758615	0	0	4	0	0
11	11	17758615	17861604	19485408	0	0	4	0	0
12	12	19485408	19588397	21063163	0	0	0	0	4
13	13	21063163	21166152	22848529	0	0	0	0	5
14	14	22848529	22951518	24936398	0	0	0	0	5
15	15	24936398	25039309	28097493	0	0	0	0	5
16	16	28097493	28200482	30081464	4	0	0	0	0
17	17	30081464	30184375	32335672	4	0	0	0	0
18	18	32335672	32438661	33775174	3	0	0	0	0
19	19	33775174	33878163	35189154	3	0	0	0	0
20	20	35189154	35292143	37988876	0	4	0	0	0
21	21	37988876	38091787	39606031	0	2	0	0	0
22	22	39606031	39709021	41636426	0	3	0	0	0
23	23	41636426	41739338	43503658	0	3	0	0	0
24	24	43503658	43606569	46256265	0	4	0	0	0
25	25	46256265	46359255	47752442	3	0	0	0	0
26	26	47752442	47855431	49225766	3	0	0	0	0
27	27	49225766	49328755	51651159	4	0	0	0	0
28	28	51651159	51754070	53992894	4	0	0	0	0
29	29	53992894	54095883	56358383	4	0	0	0	0
30	30	56358383	56461372	58057643	4	0	0	0	0
31	31	58057643	58160554	60069597	4	0	0	0	0
32	32	60069597	60172508	61408491	3	0	0	0	0
33	33	61408491	61511481	64095421	5	0	0	0	0
34	34	64095421	64198410	65934711	4	0	0	0	0
35	35	65934711	66037622	67806011	5	0	0	0	0
36	36	67806011	67909000	70082186	5	0	0	0	0
37	37	70082186	70185097	71936648	0	5	0	0	0
38	38	71936648	72039559	73868535	0	5	0	0	0
39	39	73868535	73971524	75759309	0	5	0	0	0
40	40	75759309	75862299	77987056	0	5	0	0	0
41	41	77987056	78089967	80352350	5	0	0	0	0
42	42	80352350	80455340	81818944	4	0	0	0	0
43	43	81818944	81921933	84122468	5	0	0	0	0
44	44	84122468	84225457	85601804	5	0	0	0	0
45	45	85601804	85704715	87497090	5	0	0	0	0
46	46	87497090	87600079	89653434	5	0	0	0	0
47	47	89653434	89756345	91724708	5	0	0	0	0
48	48	91724708	91827697	93188235	4	0	0	0	0
49	49	93188235	93291224	95322279	5	0	0	0	0
50	50	95322279	95425268	96670341	0	5	0	0	0
51	51	96670341	96773330	99603418	0	7	0	0	0
