tIndex	vpoint	Start	q_v1	q_v2	q_v3	q_v4	q_v5
0	0	407864	0	0	0	0	0
1	0	2407864	0	0	0	0	0
2	0	4407864	1	0	0	0	0
3	0	6407864	3	0	0	0	0
4	2	8407864	3	0	0	0	0
5	2	10407864	3	0	0	0	0
6	2	12407864	4	0	0	0	0
7	2	14407864	0	0	5	0	0
8	2	16407864	0	0	4	0	0
9	4	18407864	0	0	4	0	0
10	4	20407864	0	0	4	0	0
11	4	22407864	0	0	4	0	0
12	4	24407864	0	0	0	0	4
13	0	26407864	0	0	0	0	5
14	0	28407864	0	0	0	0	5
15	0	30407864	0	0	0	0	5
16	0	32407864	4	0	0	0	0
17	1	34407864	4	0	0	0	0
18	1	36407864	3	0	0	0	0
19	1	38407864	3	0	0	0	0
20	1	40407864	0	4	0	0	0
21	1	42407864	0	2	0	0	0
22	0	44407864	0	3	0	0	0
23	0	46407864	0	3	0	0	0
